Unnamed: 0,Item,Pronunciation,Phonology,Frequency,Length
12751,perch,P AH R CH,pxrC,0.98,4
13018,piping,P AY P IH NG,pYpIG,0.71,5
5815,embroidery,EH M B R OY D AH R IY,EmbrOdxri,0.49,9
12120,out,AW T,Wt,3865.31,2
17547,tasteless,T EY S T L IH S,testlIs,0.88,7
6034,epoch,EH P AH K,Epxk,0.14,4
17736,theft,TH EH F T,TEft,6.75,4
1973,borrowing,B AA R OW IH NG,baroIG,2.88,6
14906,riffle,R IH F AH L,rIfxl,0.12,5
5203,divulge,D AH V AH L JH,dxvxlJ,1.27,6
17405,switchblade,S W IH CH B L EY D,swICbled,0.43,8
17975,toilet,T OY L IH T,tOlIt,28.9,5
4008,cracker,K R AE K AH R,krAkxr,5.76,6
10471,mainland,M EY N L AH N D,menlxnd,3.02,7
8269,hide,HH AY D,hYd,69.69,3
12602,paycheck,P EY CH EH K,peCEk,4.27,5
6508,farther,F AA R DH AH R,farDxr,5.63,6
9392,intestine,IH N T EH S T IH N,IntEstIn,1.02,8
8406,hooray,HH UH R EY,hUre,5.75,4
10381,luncheon,L AH N CH IH N,lxnCIn,3.27,6
14183,raving,R EY V IH NG,revIG,3.16,5
15390,scheme,S K IY M,skim,7.25,4
19009,valid,V AE L AH D,vAlxd,3.22,5
17710,text,T EH K S T,tEkst,5.24,5
9522,isocyanate,AY S AH S AY AH N EY T,YsxsYxnet,0.04,9
17426,symphonic,S IH M F AA N IH K,sImfanIk,0.43,8
4112,crocked,K R AA K T,krakt,0.22,5
11697,nor,N AO R,ncr,35.98,3
494,alphabetical,AE L F AH B EH T IH K AH L,AlfxbEtIkxl,0.86,11
13826,puffy,P AH F IY,pxfi,1.69,4
18349,turnip,T AH R N AH P,txrnxp,1.73,6
344,agglutinin,AH G L UW T AH N IH N,xglutxnIn,0.02,9
136,acknowledge,AE K N AA L IH JH,AknalIJ,6.14,7
19724,wizard,W IH Z AH R D,wIzxrd,10.63,6
15547,secularist,S EH K Y AH L AH R IH S T,sEkyxlxrIst,0.02,11
17189,suitability,S UW T AH B IH L IH T IY,sutxbIlIti,0.1,10
10006,legging,L EH G IH NG,lEgIG,0.04,5
7731,greatcoat,G R EY T K OW T,gretkot,0.02,7
16394,solvency,S AO L V AH N S IY,sclvxnsi,0.08,8
2884,chien,CH EH N,CEn,0.12,3
3954,courage,K AH R IH JH,kxrIJ,23.67,5
3233,coherent,K OW HH IH R AH N T,kohIrxnt,1.04,8
1445,beauteous,B Y UW T IY AH S,byutixs,0.27,7
17120,substitute,S AH B S T IH T UW T,sxbstItut,4.67,9
1034,attributable,AH T R IH B Y UW T AH B AH L,xtrIbyutxbxl,0.1,12
4547,democracy,D AH M AA K R IH S IY,dxmakrIsi,6.61,9
15476,scrutinize,S K R UW T AH N AY Z,skrutxnYz,0.22,9
1696,biplane,B AY P L EY N,bYplen,0.04,6
18196,treasonous,T R IY Z AH N AH S,trizxnxs,0.18,8
19549,wetness,W EH T N AH S,wEtnxs,0.12,6
13340,potassium,P AH T AE S IY AH M,pxtAsixm,1.65,8
13797,psychoanalyst,S AY K OW AE N AH L AH S T,sYkoAnxlxst,0.65,11
12527,paso,P AE S OW,pAso,2.57,4
19664,wily,W AY L IY,wYli,0.63,4
16574,spill,S P IH L,spIl,8.47,4
45,abrupt,AH B R AH P T,xbrxpt,1.14,6
14721,resonant,R EH Z AH N AH N T,rEzxnxnt,0.12,8
4191,culture,K AH L CH AH R,kxlCxr,13.94,6
3379,commuter,K AH M Y UW T AH R,kxmyutxr,0.59,8
5545,duration,D UH R EY SH IH N,dUreSIn,1.59,7
5105,disquieting,D IH S K W AY IH T IH NG,dIskwYItIG,0.12,10
719,apathy,AE P AH TH IY,ApxTi,0.47,5
7693,grassland,G R AE S L AE N D,grAslAnd,0.1,8
7996,hanging,HH AE NG IH NG,hAGIG,53.63,5
4520,delinquent,D IH L IH NG K W AH N T,dIlIGkwxnt,1.39,10
2065,brazier,B R EY ZH AH R,breZxr,0.04,6
7202,friend,F R EH N D,frEnd,419.29,5
7031,foreknowledge,F OW R N AA L IH JH,fornalIJ,0.02,8
17498,talker,T AO K AH R,tckxr,1.78,5
7649,gradual,G R AE JH UW AH L,grAJuxl,0.75,7
17555,tawny,T AO N IY,tcni,0.65,4
5544,durable,D UH R AH B AH L,dUrxbxl,0.35,7
10262,logic,L AA JH IH K,laJIk,6.71,5
10796,medic,M EH D IH K,mEdIk,5.71,5
8439,hose,HH OW Z,hoz,8.06,3
7473,germinal,JH AH R M AH N AH L,Jxrmxnxl,0.04,8
1574,bend,B EH N D,bEnd,15.06,4
10072,lewd,L UW D,lud,1.27,3
16934,storm,S T AO R M,stcrm,30.86,5
18280,truce,T R UW S,trus,4.31,4
5167,disturbance,D IH S T AH R B AH N S,dIstxrbxns,3.94,10
4840,dick,D IH K,dIk,53.0,3
2323,butane,B Y UW T EY N,byuten,0.29,6
10359,lullaby,L AH L IH B AY,lxlIbY,1.73,6
9905,latest,L EY T IH S T,letIst,18.73,6
11274,most,M OW S T,most,350.76,4
16952,straightforward,S T R EY T F AO R W AH R D,stretfcrwxrd,2.0,12
11360,mumble,M AH M B AH L,mxmbxl,0.78,6
7525,giver,G IH V AH R,gIvxr,1.16,5
8535,hurricane,HH AH R AH K EY N,hxrxken,8.76,7
15364,scarify,S K AE R AH F AY,skArxfY,0.08,7
15345,scald,S K AO L D,skcld,0.27,5
9994,lefty,L EH F T IY,lEfti,3.1,5
4252,cycle,S AY K AH L,sYkxl,5.88,5
19279,vomit,V AA M AH T,vamxt,5.33,5
12433,parakeet,P EH R AH K IY T,pErxkit,1.08,7
2187,brownish,B R AW N IH SH,brWnIS,0.24,6
16651,spurn,S P AH R N,spxrn,0.22,5
956,assign,AH S AY N,xsYn,2.71,4
8872,incapacitate,IH N K AH P AE S AH T EY T,InkxpAsxtet,0.22,11
9900,latch,L AE CH,lAC,1.92,3
11166,modify,M AA D AH F AY,madxfY,0.98,6
2773,chambermaid,CH EY M B AH R M EY D,Cembxrmed,0.61,9
19016,valuation,V AE L Y UW EY SH IH N,vAlyueSIn,0.08,9
9291,intake,IH N T EY K,Intek,1.29,5
12729,penurious,P AH N UH R IY AH S,pxnUrixs,0.02,8
520,alveolar,AE L V IY AH L AH R,Alvixlxr,0.08,8
2136,brightest,B R AY T AH S T,brYtxst,2.16,7
8257,hexagon,HH EH K S AH G AA N,hEksxgan,0.08,8
1390,bawdy,B AO D IY,bcdi,0.18,4
10137,lilliputian,L IH L AH P Y UW SH AH N,lIlxpyuSxn,0.04,10
1936,bookkeeping,B UH K K IY P IH NG,bUkkipIG,0.75,8
4760,deviant,D IY V IY AH N T,divixnt,1.06,7
14400,reflective,R IH F L EH K T IH V,rIflEktIv,0.61,9
18295,trundle,T R AH N D AH L,trxndxl,0.24,7
15810,sheeting,SH IY T IH NG,SitIG,0.12,5
1701,birdie,B AH R D IY,bxrdi,4.96,5
17631,temper,T EH M P AH R,tEmpxr,11.41,6
14303,recoilless,R IH K OY L AH S,rIkOlxs,0.12,7
4124,crosswalk,K R AO S W AO K,krcswck,0.41,7
19880,yawl,Y AO L,ycl,0.24,3
3171,coalesce,K OW AH L EH S,koxlEs,0.06,6
17336,survivalist,S AH R V AY V AH L IH S T,sxrvYvxlIst,0.1,11
3340,commentary,K AA M IH N T EH R IY,kamIntEri,1.49,9
14838,reversible,R IH V AH R S AH B AH L,rIvxrsxbxl,0.29,10
2919,chock,CH AA K,Cak,0.18,3
7575,glut,G L AH T,glxt,0.14,4
2495,capacitance,K AH P AE S IH T AH N S,kxpAsItxns,0.02,10
13085,planning,P L AE N IH NG,plAnIG,37.29,6
18243,trio,T R IY OW,trio,1.29,4
16944,straggle,S T R AE G AH L,strAgxl,0.02,7
1810,bloodhound,B L AH D HH AW N D,blxdhWnd,0.98,8
