,Item,Pronunciation,Phonology,Frequency,Length
0,a,AH,x,20415.27,1
1,abandon,AH B AE N D IH N,xbAndIn,8.1,7
2,abandonment,AH B AE N D AH N M AH N T,xbAndxnmxnt,0.96,11
3,abate,AH B EY T,xbet,0.1,4
4,abbey,AE B IY,Abi,3.18,3
5,abbot,AE B AH T,Abxt,0.84,4
6,abbreviate,AH B R IY V IY EY T,xbriviet,0.02,8
7,abbreviation,AH B R IY V IY EY SH IH N,xbrivieSIn,0.24,10
8,abdomen,AE B D AH M AH N,Abdxmxn,3.35,7
9,abdominal,AE B D AA M AH N AH L,Abdamxnxl,3.41,9
10,abduction,AE B D AH K SH AH N,AbdxkSxn,3.63,8
11,aberrant,AE B EH R AH N T,AbErxnt,0.29,7
12,aberration,AE B AH R EY SH IH N,AbxreSIn,0.55,8
13,abet,AH B EH T,xbEt,0.1,4
14,abeyance,AH B EY AH N S,xbexns,0.04,6
15,abhor,AH B HH AO R,xbhcr,0.24,5
16,abhorrent,AE B HH AO R AH N T,Abhcrxnt,0.18,8
17,abide,AH B AY D,xbYd,2.71,4
18,ability,AH B IH L IH T IY,xbIlIti,19.22,7
19,abject,AE B JH EH K T,AbJEkt,0.39,6
20,abjectly,AE B JH EH K T L IY,AbJEktli,0.06,8
21,ablate,AE B L EY T,Ablet,0.02,5
22,ablation,AE B L EY SH AH N,AbleSxn,0.02,7
23,able,EY B AH L,ebxl,159.9,4
24,abler,EY B L AH R,eblxr,0.02,5
25,abnormal,AE B N AO R M AH L,Abncrmxl,2.9,8
26,abnormality,AE B N AO R M AE L IH T IY,AbncrmAlIti,0.51,11
27,abnormally,AE B N AO R M AH L IY,Abncrmxli,0.39,9
28,aboard,AH B OW R D,xbord,26.63,5
29,abode,AH B OW D,xbod,0.65,4
30,abolish,AH B AA L IH SH,xbalIS,0.47,6
31,abolition,AE B AH L IH SH IH N,AbxlISIn,0.2,8
32,abolitionist,AE B AH L IH SH IH N IH S T,AbxlISInIst,0.22,11
33,aboriginal,AE B AH R IH JH IH N AH L,AbxrIJInxl,0.18,10
34,aborigine,AE B AH R IH JH IH N IY,AbxrIJIni,0.08,9
35,abortion,AH B AO R SH IH N,xbcrSIn,7.24,7
36,abortive,AH B AO R T IH V,xbcrtIv,0.02,7
37,abound,AH B AW N D,xbWnd,0.35,5
38,about,AH B AW T,xbWt,3631.49,4
39,above,AH B AH V,xbxv,48.88,4
40,aboveground,AH B AH V G R AW N D,xbxvgrWnd,0.14,9
41,abreaction,AE B R IY AE K SH AH N,AbriAkSxn,0.02,9
42,abridge,AH B R IH JH,xbrIJ,0.02,5
43,abroad,AH B R AO D,xbrcd,4.9,5
44,abrogate,AE B R AH G EY T,Abrxget,0.02,7
45,abrupt,AH B R AH P T,xbrxpt,1.14,6
46,abruptness,AH B R AH P T N AH S,xbrxptnxs,0.08,9
47,abscess,AE B S EH S,AbsEs,0.49,5
48,absence,AE B S IH N S,AbsIns,6.31,6
49,absent,AE B S IH N T,AbsInt,2.57,6
50,absentee,AE B S IH N T IY,AbsInti,0.35,7
51,absenteeism,AE B S AH N T IY IH Z AH M,AbsxntiIzxm,0.1,11
52,absentia,AE B S EH N SH AH,AbsEnSx,0.18,7
53,absinthe,AE B S IH N TH,AbsInT,0.55,6
54,absolute,AE B S AH L UW T,Absxlut,11.31,7
55,absolutely,AE B S AH L UW T L IY,Absxlutli,113.12,9
56,absoluteness,AE B S AH L UW T N AH S,Absxlutnxs,0.02,10
57,absolution,AE B S AH L UW SH IH N,AbsxluSIn,0.94,9
58,absorb,AH B S AO R B,xbscrb,1.98,6
59,absorber,AE B S AO R B AH R,Abscrbxr,0.06,8
60,absorption,AE B S AO R P SH AH N,AbscrpSxn,0.35,9
61,abstain,AH B S T EY N,xbsten,0.51,6
62,abstention,AE B S T EH N SH AH N,AbstEnSxn,0.12,9
63,abstinence,AE B S T IH N IH N S,AbstInIns,0.88,9
64,abstract,AE B S T R AE K T,AbstrAkt,2.18,8
65,abstraction,AE B S T R AE K SH IH N,AbstrAkSIn,0.29,10
66,absurd,AH B S AH R D,xbsxrd,9.71,6
67,absurdity,AE B S AH R D IH T IY,AbsxrdIti,0.63,9
68,abundance,AH B AH N D AH N S,xbxndxns,0.88,8
69,abundant,AH B AH N D IH N T,xbxndInt,0.57,8
70,abundantly,AH B AH N D AH N T L IY,xbxndxntli,0.41,10
71,abuse,AH B Y UW Z,xbyuz,10.25,5
72,abusive,AH B Y UW S IH V,xbyusIv,1.63,7
73,abutment,AH B AH T M AH N T,xbxtmxnt,0.12,8
74,abysmal,AH B IH Z M AH L,xbIzmxl,0.41,7
75,abyss,AH B IH S,xbIs,1.76,4
76,acacia,AH K EY SH AH,xkeSx,0.16,5
77,academic,AE K IH D EH M IH K,AkIdEmIk,4.67,8
78,academy,AH K AE D AH M IY,xkAdxmi,12.41,7
79,accede,AE K S IY D,Aksid,0.14,5
80,accelerate,AE K S EH L AH R EY T,AksElxret,1.27,9
