Item,Pronunciation,Phonology,Frequency
a,AH,x,20415.27
abandon,AH B AE N D IH N,xbAndIn,8.1
abandonment,AH B AE N D AH N M AH N T,xbAndxnmxnt,0.96
abate,AH B EY T,xbet,0.1
abbey,AE B IY,Abi,3.18
abbot,AE B AH T,Abxt,0.84
abbreviate,AH B R IY V IY EY T,xbriviet,0.02
abbreviation,AH B R IY V IY EY SH IH N,xbrivieSIn,0.24
abdomen,AE B D AH M AH N,Abdxmxn,3.35
abdominal,AE B D AA M AH N AH L,Abdamxnxl,3.41
abduction,AE B D AH K SH AH N,AbdxkSxn,3.63
aberrant,AE B EH R AH N T,AbErxnt,0.29
aberration,AE B AH R EY SH IH N,AbxreSIn,0.55
abet,AH B EH T,xbEt,0.1
abeyance,AH B EY AH N S,xbexns,0.04
abhor,AH B HH AO R,xbhcr,0.24
abhorrent,AE B HH AO R AH N T,Abhcrxnt,0.18
abide,AH B AY D,xbYd,2.71
ability,AH B IH L IH T IY,xbIlIti,19.22
abject,AE B JH EH K T,AbJEkt,0.39
abjectly,AE B JH EH K T L IY,AbJEktli,0.06
ablate,AE B L EY T,Ablet,0.02
ablation,AE B L EY SH AH N,AbleSxn,0.02
able,EY B AH L,ebxl,159.9
abler,EY B L AH R,eblxr,0.02
abnormal,AE B N AO R M AH L,Abncrmxl,2.9
abnormality,AE B N AO R M AE L IH T IY,AbncrmAlIti,0.51
abnormally,AE B N AO R M AH L IY,Abncrmxli,0.39
aboard,AH B OW R D,xbord,26.63
abode,AH B OW D,xbod,0.65
abolish,AH B AA L IH SH,xbalIS,0.47
abolition,AE B AH L IH SH IH N,AbxlISIn,0.2
abolitionist,AE B AH L IH SH IH N IH S T,AbxlISInIst,0.22
aboriginal,AE B AH R IH JH IH N AH L,AbxrIJInxl,0.18
aborigine,AE B AH R IH JH IH N IY,AbxrIJIni,0.08
abortion,AH B AO R SH IH N,xbcrSIn,7.24
abortive,AH B AO R T IH V,xbcrtIv,0.02
abound,AH B AW N D,xbWnd,0.35
about,AH B AW T,xbWt,3631.49
above,AH B AH V,xbxv,48.88
aboveground,AH B AH V G R AW N D,xbxvgrWnd,0.14
abreaction,AE B R IY AE K SH AH N,AbriAkSxn,0.02
abridge,AH B R IH JH,xbrIJ,0.02
abroad,AH B R AO D,xbrcd,4.9
abrogate,AE B R AH G EY T,Abrxget,0.02
abrupt,AH B R AH P T,xbrxpt,1.14
abruptness,AH B R AH P T N AH S,xbrxptnxs,0.08
abscess,AE B S EH S,AbsEs,0.49
absence,AE B S IH N S,AbsIns,6.31
absent,AE B S IH N T,AbsInt,2.57
absentee,AE B S IH N T IY,AbsInti,0.35
absenteeism,AE B S AH N T IY IH Z AH M,AbsxntiIzxm,0.1
absentia,AE B S EH N SH AH,AbsEnSx,0.18
absinthe,AE B S IH N TH,AbsInT,0.55
absolute,AE B S AH L UW T,Absxlut,11.31
absolutely,AE B S AH L UW T L IY,Absxlutli,113.12
absoluteness,AE B S AH L UW T N AH S,Absxlutnxs,0.02
absolution,AE B S AH L UW SH IH N,AbsxluSIn,0.94
absorb,AH B S AO R B,xbscrb,1.98
absorber,AE B S AO R B AH R,Abscrbxr,0.06
absorption,AE B S AO R P SH AH N,AbscrpSxn,0.35
abstain,AH B S T EY N,xbsten,0.51
abstention,AE B S T EH N SH AH N,AbstEnSxn,0.12
abstinence,AE B S T IH N IH N S,AbstInIns,0.88
abstract,AE B S T R AE K T,AbstrAkt,2.18
abstraction,AE B S T R AE K SH IH N,AbstrAkSIn,0.29
absurd,AH B S AH R D,xbsxrd,9.71
absurdity,AE B S AH R D IH T IY,AbsxrdIti,0.63
abundance,AH B AH N D AH N S,xbxndxns,0.88
abundant,AH B AH N D IH N T,xbxndInt,0.57
abundantly,AH B AH N D AH N T L IY,xbxndxntli,0.41
abuse,AH B Y UW Z,xbyuz,10.25
abusive,AH B Y UW S IH V,xbyusIv,1.63
abutment,AH B AH T M AH N T,xbxtmxnt,0.12
abysmal,AH B IH Z M AH L,xbIzmxl,0.41
abyss,AH B IH S,xbIs,1.76
acacia,AH K EY SH AH,xkeSx,0.16
academic,AE K IH D EH M IH K,AkIdEmIk,4.67
academy,AH K AE D AH M IY,xkAdxmi,12.41
accede,AE K S IY D,Aksid,0.14
accelerate,AE K S EH L AH R EY T,AksElxret,1.27
acceleration,AE K S EH L AH R EY SH AH N,AksElxreSxn,0.86
accelerator,AE K S EH L AH R EY T AH R,AksElxretxr,1.35
accent,AE K S EH N T,AksEnt,12.18
accentuate,AE K S EH N CH UW EY T,AksEnCuet,0.35
accept,AE K S EH P T,AksEpt,52.78
acceptable,AE K S EH P T AH B AH L,AksEptxbxl,5.27
acceptance,AE K S EH P T IH N S,AksEptIns,3.16
accepting,AH K S EH P T IH NG,xksEptIG,4.04
access,AE K S EH S,AksEs,31.67
accessibility,AE K S EH S AH B IH L IH T IY,AksEsxbIlIti,0.04
accessible,AE K S EH S IH B AH L,AksEsIbxl,1.1
accession,AA K S EH SH IH N,aksESIn,0.12
accessory,AE K S EH S AH R IY,AksEsxri,2.88
accident,AE K S IH D IH N T,AksIdInt,81.29
accidental,AE K S AH D EH N T AH L,AksxdEntxl,3
acclaim,AH K L EY M,xklem,0.43
acclamation,AE K L AH M EY SH IH N,AklxmeSIn,0.02
acclimatize,AH K L AY M AH T AY Z,xklYmxtYz,0.02
accolade,AE K AH L EY D,Akxled,0.02
accommodate,AH K AA M AH D EY T,xkamxdet,2.14
accommodation,AH K AA M AH D EY SH IH N,xkamxdeSIn,0.94
accompaniment,AH K AH M P AH N IY M AH N T,xkxmpxnimxnt,0.29
accompanist,AH K AH M P AH N IH S T,xkxmpxnIst,0.2
accompany,AH K AH M P AH N IY,xkxmpxni,4.75
accomplice,AH K AA M P L AH S,xkamplxs,4.24
